Index,Token,Location,Speaker,Listened Language,Token,Tag1,Tag2,Tag
92,cousin,"Montréal, Québec",Ron Fournier,French,cousin,Fr,,Fr
93,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
94,belle-soeur,"Montréal, Québec",Ron Fournier,French,belle-soeur,Fr,,Fr
95,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
96,le,"Montréal, Québec",Ron Fournier,French,le,Fr,,Fr
97,chauffeur,"Montréal, Québec",Ron Fournier,French,chauffeur,Fr,,Fr
98,de,"Montréal, Québec",Ron Fournier,French,de,Fr,,Fr
99,taxi,"Montréal, Québec",Ron Fournier,French,taxi,Fr,,Fr
100,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
101,le,"Montréal, Québec",Ron Fournier,French,le,Fr,,Fr
102,barman,"Montréal, Québec",Ron Fournier,French,barman,Fr,,Fr
103,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
104,euh..,"Montréal, Québec",Ron Fournier,French,euh..,Fr,,Fr
105,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
106,Mononcle,"Montréal, Québec",Ron Fournier,French,Mononcle,Fr,,Fr
107,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
108,fils,"Montréal, Québec",Ron Fournier,French,fils,Fr,,Fr
109,à,"Montréal, Québec",Ron Fournier,French,à,Punct,,Punct
110,mononcle,"Montréal, Québec",Ron Fournier,French,mononcle,Fr,,Fr
111,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
112,blonde,"Montréal, Québec",Ron Fournier,French,blonde,Fr,,Fr
113,du,"Montréal, Québec",Ron Fournier,French,du,Fr,,Fr
114,fils,"Montréal, Québec",Ron Fournier,French,fils,Fr,,Fr
115,du,"Montréal, Québec",Ron Fournier,French,du,Fr,,Fr
116,beau-père,"Montréal, Québec",Ron Fournier,French,beau-père,Fr,,Fr
117,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
118,ça,"Montréal, Québec",Ron Fournier,French,ça,Fr,,Fr
119,a,"Montréal, Québec",Ron Fournier,French,a,Fr,,Fr
120,pas,"Montréal, Québec",Ron Fournier,French,pas,Fr,,Fr
121,rapport,"Montréal, Québec",Ron Fournier,French,rapport,Fr,,Fr
122,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
123,pas,"Montréal, Québec",Ron Fournier,French,pas,Fr,,Fr
124,deux,"Montréal, Québec",Ron Fournier,French,deux,Fr,,Fr
125,secondes,"Montréal, Québec",Ron Fournier,French,secondes,Fr,,Fr
126,!,"Montréal, Québec",Ron Fournier,French,!,Punct,,Punct
127,...,"Montréal, Québec",Ron Fournier,French,...,Fr,,Fr
128,Il,"Montréal, Québec",Ron Fournier,French,Il,Fr,,Fr
129,y,"Montréal, Québec",Ron Fournier,French,y,Fr,,Fr
130,a,"Montréal, Québec",Ron Fournier,French,a,Fr,,Fr
131,une,"Montréal, Québec",Ron Fournier,French,une,Fr,,Fr
132,équipe,"Montréal, Québec",Ron Fournier,French,équipe,Fr,,Fr
133,canadienne,"Montréal, Québec",Ron Fournier,French,canadienne,Fr,,Fr
134,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
135,ça,"Montréal, Québec",Ron Fournier,French,ça,Fr,,Fr
136,peut,"Montréal, Québec",Ron Fournier,French,peut,Fr,,Fr
137,être,"Montréal, Québec",Ron Fournier,French,être,Fr,,Fr
138,Vancouver,"Montréal, Québec",Ron Fournier,French,Vancouver,NamedEnt,,NamedEnt
139,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
140,ça,"Montréal, Québec",Ron Fournier,French,ça,Fr,,Fr
141,peut,"Montréal, Québec",Ron Fournier,French,peut,Fr,,Fr
142,être,"Montréal, Québec",Ron Fournier,French,être,Fr,,Fr
143,Calgary,"Montréal, Québec",Ron Fournier,French,Calgary,NamedEnt,,NamedEnt
144,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
145,ça,"Montréal, Québec",Ron Fournier,French,ça,Fr,,Fr
146,peut,"Montréal, Québec",Ron Fournier,French,peut,Fr,,Fr
147,être,"Montréal, Québec",Ron Fournier,French,être,Fr,,Fr
148,Edmonton,"Montréal, Québec",Ron Fournier,French,Edmonton,NamedEnt,,NamedEnt
149,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
150,Toronto,"Montréal, Québec",Ron Fournier,French,Toronto,NamedEnt,,NamedEnt
151,ou,"Montréal, Québec",Ron Fournier,French,ou,Fr,,Fr
152,Montréal,"Montréal, Québec",Ron Fournier,French,Montréal,NamedEnt,,NamedEnt
153,qui,"Montréal, Québec",Ron Fournier,French,qui,Fr,,Fr
154,peut,"Montréal, Québec",Ron Fournier,French,peut,Fr,,Fr
155,déménager,"Montréal, Québec",Ron Fournier,French,déménager,Fr,,Fr
156,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
157,ça,"Montréal, Québec",Ron Fournier,French,ça,Fr,,Fr
158,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
159,je,"Montréal, Québec",Ron Fournier,French,je,Fr,,Fr
160,vous,"Montréal, Québec",Ron Fournier,French,vous,Fr,,Fr
161,le,"Montréal, Québec",Ron Fournier,French,le,Fr,,Fr
162,donne,"Montréal, Québec",Ron Fournier,French,donne,Fr,,Fr
163,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
164,Quand,"Montréal, Québec",Patrick,French,Quand,Fr,,Fr
165,même,"Montréal, Québec",Patrick,French,même,Fr,,Fr
166,",","Montréal, Québec",Patrick,French,,,Punct,Punct
167,depuis,"Montréal, Québec",Patrick,French,depuis,Fr,,Fr
168,le,"Montréal, Québec",Patrick,French,le,Fr,,Fr
169,lock-out..,"Montréal, Québec",Patrick,English,lock-out..,Fr,,Fr
170,0,"Montréal, Québec",Patrick,French,0,Punct,,Punct
171,Le,"Montréal, Québec",Ron Fournier,French,Le,Fr,,Fr
172,lock-out,"Montréal, Québec",Ron Fournier,English,lock-out,Fr,,Fr
173,!,"Montréal, Québec",Ron Fournier,French,!,Punct,,Punct
174,Allô,"Montréal, Québec",Ron Fournier,French,Allô,Fr,,Fr
175,!,"Montréal, Québec",Ron Fournier,French,!,Punct,,Punct
176,Lock-out,"Montréal, Québec",Ron Fournier,English,Lock-out,Fr,,Fr
177,!,"Montréal, Québec",Ron Fournier,French,!,Punct,,Punct
178,Il,"Montréal, Québec",Ron Fournier,French,Il,Fr,,Fr
179,est,"Montréal, Québec",Ron Fournier,French,est,Fr,,Fr
180,où,"Montréal, Québec",Ron Fournier,French,où,Fr,,Fr
181,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
182,le,"Montréal, Québec",Ron Fournier,French,le,Fr,,Fr
183,lock-out,"Montréal, Québec",Ron Fournier,English,lock-out,Fr,,Fr
184,?,"Montréal, Québec",Ron Fournier,French,?,Punct,,Punct
185,Quoi,"Montréal, Québec",Ron Fournier,French,Quoi,Fr,,Fr
186,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
187,le,"Montréal, Québec",Ron Fournier,French,le,Fr,,Fr
188,lock-out,"Montréal, Québec",Ron Fournier,English,lock-out,Fr,,Fr
189,?,"Montréal, Québec",Ron Fournier,French,?,Punct,,Punct
190,Lock-out,"Montréal, Québec",Ron Fournier,English,Lock-out,Fr,,Fr
191,?,"Montréal, Québec",Ron Fournier,French,?,Punct,,Punct
192,Hé,"Montréal, Québec",Patrick,French,Hé,Fr,,Fr
193,",","Montréal, Québec",Patrick,French,,,Punct,Punct
194,Buttman,"Montréal, Québec",Patrick,French/English,Buttman,Fr,,Fr
195,",","Montréal, Québec",Patrick,French,,,Punct,Punct
196,avec,"Montréal, Québec",Patrick,French,avec,Fr,,Fr
197,ses,"Montréal, Québec",Patrick,French,ses,Fr,,Fr
198,affaires,"Montréal, Québec",Patrick,French,affaires,Fr,,Fr
199,cheap,"Montréal, Québec",Patrick,English,cheap,Eng,,Eng
200,américaines,"Montréal, Québec",Patrick,French,américaines,Fr,,Fr
201,",","Montréal, Québec",Patrick,French,,,Punct,Punct
202,comme,"Montréal, Québec",Patrick,French,comme,Fr,,Fr
203,les,"Montréal, Québec",Patrick,French,les,Fr,,Fr
204,cheerleaders,"Montréal, Québec",Patrick,English,cheerleaders,Eng,,Eng
205,",","Montréal, Québec",Patrick,French,,,Punct,Punct
206,les,"Montréal, Québec",Patrick,French,les,Fr,,Fr
207,mascottes..,"Montréal, Québec",Patrick,French,mascottes..,Fr,,Fr
208,0,"Montréal, Québec",Patrick,French,0,Punct,,Punct
209,Les,"Montréal, Québec",Ron Fournier,French,Les,Fr,,Fr
210,cheerleaders,"Montréal, Québec",Ron Fournier,English,cheerleaders,Eng,,Eng
211,avec,"Montréal, Québec",Ron Fournier,French,avec,Fr,,Fr
212,les,"Montréal, Québec",Ron Fournier,French,les,Fr,,Fr
213,pompons,"Montréal, Québec",Ron Fournier,French,pompons,Fr,,Fr
214,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
215,c',"Montréal, Québec",Ron Fournier,French,c',Fr,,Fr
216,est,"Montréal, Québec",Ron Fournier,French,est,Fr,,Fr
217,pas,"Montréal, Québec",Ron Fournier,French,pas,Fr,,Fr
218,pire,"Montréal, Québec",Ron Fournier,French,pire,Fr,,Fr
219,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
220,ça,"Montréal, Québec",Ron Fournier,French,ça,Fr,,Fr
221,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
222,je,"Montréal, Québec",Ron Fournier,French,je,Fr,,Fr
223,peux,"Montréal, Québec",Ron Fournier,French,peux,Fr,,Fr
224,vivre,"Montréal, Québec",Ron Fournier,French,vivre,Fr,,Fr
225,avec,"Montréal, Québec",Ron Fournier,French,avec,Fr,,Fr
226,ça,"Montréal, Québec",Ron Fournier,French,ça,Fr,,Fr
227,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
228,Mais,"Montréal, Québec",Ron Fournier,French,Mais,Fr,,Fr
229,les,"Montréal, Québec",Ron Fournier,French,les,Fr,,Fr
230,mascottes,"Montréal, Québec",Ron Fournier,French,mascottes,Fr,,Fr
231,!,"Montréal, Québec",Ron Fournier,French,!,Punct,,Punct
232,Pas,"Montréal, Québec",Ron Fournier,French,Pas,Fr,,Fr
233,sûr,"Montréal, Québec",Ron Fournier,French,sûr,Fr,,Fr
234,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
235,les,"Montréal, Québec",Ron Fournier,French,les,Fr,,Fr
236,mascottes,"Montréal, Québec",Ron Fournier,French,mascottes,Fr,,Fr
237,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
238,avec,"Montréal, Québec",Ron Fournier,French,avec,Fr,,Fr
239,la,"Montréal, Québec",Ron Fournier,French,la,Fr,,Fr
240,queue,"Montréal, Québec",Ron Fournier,French,queue,Fr,,Fr
241,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
242,le,"Montréal, Québec",Ron Fournier,French,le,Fr,,Fr
243,poil..,"Montréal, Québec",Ron Fournier,French,poil..,Fr,,Fr
244,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
245,Je,"Montréal, Québec",Ron Fournier,French,Je,Fr,,Fr
246,suis,"Montréal, Québec",Ron Fournier,French,suis,Fr,,Fr
247,pas,"Montréal, Québec",Ron Fournier,French,pas,Fr,,Fr
248,certain,"Montréal, Québec",Ron Fournier,French,certain,Fr,,Fr
249,des,"Montréal, Québec",Ron Fournier,French,des,Fr,,Fr
250,mascottes,"Montréal, Québec",Ron Fournier,French,mascottes,Fr,,Fr
251,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
252,pas,"Montréal, Québec",Ron Fournier,French,pas,Fr,,Fr
253,deux,"Montréal, Québec",Ron Fournier,French,deux,Fr,,Fr
254,secondes..,"Montréal, Québec",Ron Fournier,French,secondes..,Fr,,Fr
255,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
256,-0,"Montréal, Québec",Ron Fournier,French,-0,Punct,,Punct
257,Mais,"Montréal, Québec",Ron Fournier,French,Mais,Fr,,Fr
258,savez,"Montréal, Québec",Ron Fournier,French,savez,Fr,,Fr
259,-vous,"Montréal, Québec",Ron Fournier,French,-vous,Fr,,Fr
260,quoi,"Montréal, Québec",Ron Fournier,French,quoi,Fr,,Fr
261,?,"Montréal, Québec",Ron Fournier,French,?,Punct,,Punct
262,-0,"Montréal, Québec",Patrick,French,-0,Punct,,Punct
263,Non,"Montréal, Québec",Patrick,French,Non,Fr,,Fr
264,0,"Montréal, Québec",Patrick,French,0,Punct,,Punct
265,-0,"Montréal, Québec",Ron Fournier,French,-0,Punct,,Punct
266,Savez,"Montréal, Québec",Ron Fournier,French,Savez,Fr,,Fr
267,-vous,"Montréal, Québec",Ron Fournier,French,-vous,Fr,,Fr
268,quoi,"Montréal, Québec",Ron Fournier,French,quoi,Fr,,Fr
269,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
270,Patrick,"Montréal, Québec",Ron Fournier,French,Patrick,NamedEnt,,NamedEnt
271,?,"Montréal, Québec",Ron Fournier,French,?,Punct,,Punct
272,-0,"Montréal, Québec",Patrick,French,-0,Punct,,Punct
273,Non,"Montréal, Québec",Patrick,French,Non,Fr,,Fr
274,0,"Montréal, Québec",Patrick,French,0,Punct,,Punct
275,Patrick,"Montréal, Québec",Ron Fournier,French,Patrick,NamedEnt,,NamedEnt
276,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
277,savez,"Montréal, Québec",Ron Fournier,French,savez,Fr,,Fr
278,-vous,"Montréal, Québec",Ron Fournier,French,-vous,Fr,,Fr
279,quoi,"Montréal, Québec",Ron Fournier,French,quoi,Fr,,Fr
280,?,"Montréal, Québec",Ron Fournier,French,?,Punct,,Punct
281,Avec,"Montréal, Québec",Ron Fournier,French,Avec,Fr,,Fr
282,le,"Montréal, Québec",Ron Fournier,French,le,Fr,,Fr
283,nouveau,"Montréal, Québec",Ron Fournier,French,nouveau,Fr,,Fr
284,système,"Montréal, Québec",Ron Fournier,French,système,Fr,,Fr
285,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
286,les,"Montréal, Québec",Ron Fournier,French,les,Fr,,Fr
287,Patriotes,"Montréal, Québec",Ron Fournier,French,Patriotes,Fr,,Fr
288,de,"Montréal, Québec",Ron Fournier,French,de,Fr,,Fr
289,Montréal,"Montréal, Québec",Ron Fournier,French,Montréal,NamedEnt,,NamedEnt
290,rencontrent,"Montréal, Québec",Ron Fournier,French,rencontrent,Fr,,Fr
291,Toronto,"Montréal, Québec",Ron Fournier,French,Toronto,NamedEnt,,NamedEnt
292,en,"Montréal, Québec",Ron Fournier,French,en,Fr,,Fr
293,finale,"Montréal, Québec",Ron Fournier,French,finale,Fr,,Fr
294,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
295,...,"Montréal, Québec",Ron Fournier,French,...,Fr,,Fr
296,bye,"Montréal, Québec",Ron Fournier,French,bye,Eng,,Eng
297,",","Montréal, Québec",Ron Fournier,French,,,Punct,Punct
298,Patrick,"Montréal, Québec",Ron Fournier,French,Patrick,NamedEnt,,NamedEnt
299,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
300,Merci,"Montréal, Québec",Ron Fournier,French,Merci,Fr,,Fr
301,d',"Montréal, Québec",Ron Fournier,French,d',Fr,,Fr
302,avoir,"Montréal, Québec",Ron Fournier,French,avoir,Fr,,Fr
303,appelé,"Montréal, Québec",Ron Fournier,French,appelé,Fr,,Fr
304,0,"Montréal, Québec",Ron Fournier,French,0,Punct,,Punct
305,Que,"Montréal, Québec",Benoit Brisset,French,Que,Fr,,Fr
306,c',"Montréal, Québec",Benoit Brisset,French,c',Fr,,Fr
307,est,"Montréal, Québec",Benoit Brisset,French,est,Fr,,Fr
308,qui,"Montréal, Québec",Benoit Brisset,French,qui,Fr,,Fr
309,se,"Montréal, Québec",Benoit Brisset,French,se,Fr,,Fr
310,passe,"Montréal, Québec",Benoit Brisset,French,passe,Fr,,Fr
311,?,"Montréal, Québec",Benoit Brisset,French,?,Punct,,Punct
312,Pourquoi,"Montréal, Québec",Benoit Brisset,French,Pourquoi,NamedEnt,,NamedEnt
313,je,"Montréal, Québec",Benoit Brisset,French,je,Fr,,Fr
314,suis,"Montréal, Québec",Benoit Brisset,French,suis,Fr,,Fr
315,attaché,"Montréal, Québec",Benoit Brisset,French,attaché,Fr,,Fr
316,",","Montréal, Québec",Benoit Brisset,French,,,Punct,Punct
317,moi,"Montréal, Québec",Benoit Brisset,French,moi,Fr,,Fr
318,?,"Montréal, Québec",Benoit Brisset,French,?,Punct,,Punct
319,Que,"Montréal, Québec",Benoit Brisset,French,Que,Fr,,Fr
320,c',"Montréal, Québec",Benoit Brisset,French,c',Fr,,Fr
321,est,"Montréal, Québec",Benoit Brisset,French,est,Fr,,Fr
322,que,"Montréal, Québec",Benoit Brisset,French,que,Fr,,Fr
323,je,"Montréal, Québec",Benoit Brisset,French,je,Fr,,Fr
324,fais,"Montréal, Québec",Benoit Brisset,French,fais,Fr,,Fr
325,ici,"Montréal, Québec",Benoit Brisset,French,ici,Fr,,Fr
326,",","Montréal, Québec",Benoit Brisset,French,,,Punct,Punct
327,moi,"Montréal, Québec",Benoit Brisset,French,moi,Fr,,Fr
328,",","Montréal, Québec",Benoit Brisset,French,,,Punct,Punct
329,là,"Montréal, Québec",Benoit Brisset,French,là,Fr,,Fr
330,?,"Montréal, Québec",Benoit Brisset,French,?,Punct,,Punct
331,Que,"Montréal, Québec",Benoit Brisset,French,Que,Fr,,Fr
332,c',"Montréal, Québec",Benoit Brisset,French,c',Fr,,Fr
333,est,"Montréal, Québec",Benoit Brisset,French,est,Fr,,Fr
334,que,"Montréal, Québec",Benoit Brisset,French,que,Fr,,Fr
335,j',"Montréal, Québec",Benoit Brisset,French,j',Fr,,Fr
336,ai,"Montréal, Québec",Benoit Brisset,French,ai,Fr,,Fr
337,fait,"Montréal, Québec",Benoit Brisset,French,fait,Fr,,Fr
338,",","Montréal, Québec",Benoit Brisset,French,,,Punct,Punct
339,moi,"Montréal, Québec",Benoit Brisset,French,moi,Fr,,Fr
340,?,"Montréal, Québec",Benoit Brisset,French,?,Punct,,Punct
341,C',"Montréal, Québec",Tattoo Killer,French,C',Fr,,Fr
342,est,"Montréal, Québec",Tattoo Killer,French,est,Fr,,Fr
343,ça,"Montréal, Québec",Tattoo Killer,French,ça,Fr,,Fr
344,",","Montréal, Québec",Tattoo Killer,French,,,Punct,Punct
345,le,"Montréal, Québec",Tattoo Killer,French,le,Fr,,Fr
346,problème,"Montréal, Québec",Tattoo Killer,French,problème,Fr,,Fr
347,",","Montréal, Québec",Tattoo Killer,French,,,Punct,Punct
348,Ben,"Montréal, Québec",Tattoo Killer,French,Ben,NamedEnt,,NamedEnt
349,:,"Montréal, Québec",Tattoo Killer,French,:,Punct,,Punct
350,t',"Montréal, Québec",Tattoo Killer,French,t',Fr,,Fr
351,as,"Montréal, Québec",Tattoo Killer,French,as,Eng,,Eng
352,rien,"Montréal, Québec",Tattoo Killer,French,rien,Fr,,Fr
353,fait,"Montréal, Québec",Tattoo Killer,French,fait,Fr,,Fr
354,0,"Montréal, Québec",Tattoo Killer,French,0,Punct,,Punct
355,J',"Montréal, Québec",Benoit Brisset,French,J',Fr,,Fr
356,ai,"Montréal, Québec",Benoit Brisset,French,ai,Fr,,Fr
357,essayé,"Montréal, Québec",Benoit Brisset,French,essayé,Fr,,Fr
358,de,"Montréal, Québec",Benoit Brisset,French,de,Fr,,Fr
359,t',"Montréal, Québec",Benoit Brisset,French,t',Fr,,Fr
360,aider,"Montréal, Québec",Benoit Brisset,French,aider,Fr,,Fr
361,",","Montréal, Québec",Benoit Brisset,French,,,Punct,Punct
362,tu,"Montréal, Québec",Benoit Brisset,French,tu,Fr,,Fr
363,sais,"Montréal, Québec",Benoit Brisset,French,sais,Fr,,Fr
364,0,"Montréal, Québec",Benoit Brisset,French,0,Punct,,Punct
365,Tu,"Montréal, Québec",Benoit Brisset,French,Tu,Fr,,Fr
366,le,"Montréal, Québec",Benoit Brisset,French,le,Fr,,Fr
367,sais,"Montréal, Québec",Benoit Brisset,French,sais,Fr,,Fr
368,",","Montréal, Québec",Benoit Brisset,French,,,Punct,Punct
369,ça,"Montréal, Québec",Benoit Brisset,French,ça,Fr,,Fr
370,0,"Montréal, Québec",Benoit Brisset,French,0,Punct,,Punct
371,Hein,"Montréal, Québec",Benoit Brisset,French,Hein,NamedEnt,,NamedEnt
372,?,"Montréal, Québec",Benoit Brisset,French,?,Punct,,Punct
373,Hein,"Montréal, Québec",Benoit Brisset,French,Hein,NamedEnt,,NamedEnt
374,?,"Montréal, Québec",Benoit Brisset,French,?,Punct,,Punct
375,Hein,"Montréal, Québec",Benoit Brisset,French,Hein,NamedEnt,,NamedEnt
376,?,"Montréal, Québec",Benoit Brisset,French,?,Punct,,Punct
377,Tu,"Montréal, Québec",Benoit Brisset,French,Tu,Fr,,Fr
378,le,"Montréal, Québec",Benoit Brisset,French,le,Fr,,Fr
379,sais,"Montréal, Québec",Benoit Brisset,French,sais,Fr,,Fr
