Token,Tag
",Punct
Laura,NamedEnt
Klein,NamedEnt
",Punct
Alicia,NamedEnt
Kozameh,NamedEnt
",Punct
Josh,NamedEnt
Kun,NamedEnt
",Punct
Wim,NamedEnt
Lindeque,NamedEnt
",Punct
Tiffany,NamedEnt
Ana,NamedEnt
López,NamedEnt
",Punct
Adelaida,NamedEnt
López-Mejía,NamedEnt
",Punct
Gustavo,NamedEnt
Llarull,NamedEnt
",Punct
Jorge,NamedEnt
Mariscal,NamedEnt
",Punct
Francine,NamedEnt
Masiello,NamedEnt
",Punct
Alistair,NamedEnt
McCartney,NamedEnt
",Punct
Michael,NamedEnt
McGaha,NamedEnt
",Punct
Tim,NamedEnt
Miller,NamedEnt
",Punct
María,NamedEnt
Gabriela,NamedEnt
Mizraje,NamedEnt
",Punct
Florence,NamedEnt
MoorheadRosenberg,Eng
",Punct
Francisca,NamedEnt
Noguerol,NamedEnt
",Punct
Andrea,NamedEnt
Ostrov,NamedEnt
",Punct
Cristina,NamedEnt
Piña,NamedEnt
",Punct
Hilda,NamedEnt
Rais,NamedEnt
",Punct
Lynn,NamedEnt
Rapaport,NamedEnt
",Punct
Victor,NamedEnt
Richini,NamedEnt
",Punct
John,NamedEnt
Carlos,NamedEnt
Rowe,NamedEnt
",Punct
Emma,NamedEnt
Sepúlveda,Spn
",Punct
Ana,NamedEnt
María,NamedEnt
Shua,NamedEnt
",Punct
Saúl,NamedEnt
Sosnowski,NamedEnt
",Punct
Ilán,NamedEnt
Stavans,NamedEnt
",Punct
Mónica,NamedEnt
Szurmuk,NamedEnt
",Punct
Miguel,NamedEnt
Tinker,NamedEnt
Salas,NamedEnt
",Punct
Daniel,NamedEnt
Torres,NamedEnt
",Punct
Paulina,NamedEnt
Vinderman,NamedEnt
",Punct
Margaret,NamedEnt
Waller,NamedEnt
",Punct
Suzinn,NamedEnt
Lee,NamedEnt
Weiss,NamedEnt
",Punct
Heather,NamedEnt
Williams,NamedEnt
",Punct
Howard,NamedEnt
T.,Spn
Young,NamedEnt
.,Punct
The,Eng
following,Eng
former,Eng
students,Eng
at,Eng
Pomona,NamedEnt
College,NamedEnt
have,Eng
all,Eng
read,Eng
and,Eng
given,Eng
me,Spn
invaluable,Eng
feedback,Eng
on,Eng
múltiples,Spn
versiones,Spn
de,Spn
estas,Spn
crónicas,Spn
",Punct
and,Eng
have,Eng
been,Eng
been,Eng
closely,Eng
involved,Eng
with,Eng
me,Spn
in,Eng
classes,Eng
",Punct
as,Eng
research,Eng
assistants,Eng
",Punct
y,Spn
en,Spn
la,Spn
vida,Spn
.,Punct
Para,NamedEnt
todos,Spn
",Punct
gracias,Spn
:,Punct
Francisco,NamedEnt
Dueñas,NamedEnt
",Punct
Tanya,NamedEnt
González,NamedEnt
(,Punct
Scripps,NamedEnt
College,NamedEnt
),Punct
",Punct
Gabriela,NamedEnt
Grannis,NamedEnt
",Punct
Gregorio,NamedEnt
Houser,NamedEnt
",Punct
Michael,NamedEnt
Kidd,NamedEnt
",Punct
Annie,NamedEnt
Mascorro,NamedEnt
",Punct
Clara,NamedEnt
S.,NamedEnt
Moon,NamedEnt
",Punct
Anna,NamedEnt
A.I,Spn
I,Eng
Moore,NamedEnt
",Punct
Marissa,NamedEnt
Muñoz,NamedEnt
",Punct
Vickie,NamedEnt
Ramos,NamedEnt
",Punct
Cristóbal,NamedEnt
Schraeder,NamedEnt
",Punct
Alelí,Spn
Stok,NamedEnt
",Punct
Adam,NamedEnt
Teicholz,NamedEnt
",Punct
Danilo,NamedEnt
Trisi,NamedEnt
",Punct
Elizabeth,NamedEnt
“,Punct
Mia,NamedEnt
”,Punct
Vogel,NamedEnt
.,Punct
I,Eng
thank,Eng
Elisabeth,NamedEnt
(,Punct
Echagüe,Spn
),Punct
Bonet,NamedEnt
and,Eng
Chris,NamedEnt
Sadiq,NamedEnt
",Punct
masajistas,Spn
sin,Spn
par,Spn
in,Eng
Buenos,NamedEnt
Aires,NamedEnt
and,Eng
Claremont,NamedEnt
respectively,Eng
.,Punct
Your,Eng
healing,Eng
hands,Eng
keep,Eng
my,Eng
words,Eng
flowing,Eng
.,Punct
Slightly,NamedEnt
different,Eng
versions,Eng
of,Eng
several,Eng
of,Eng
these,Eng
crónicas,Spn
were,Eng
published,Eng
in,Eng
the,Eng
following,Eng
journals,Eng
:,Punct
“,Punct
‘,Punct
Killer,NamedEnt
’,Punct
Crónicas,Spn
",Punct
”,Punct
Letras,Spn
FemeninasVII:2,Spn
(,Punct
2001,Spn
),Punct
",Punct
123–29,Spn
;,Punct
“,Punct
Crónicas,Spn
chinescas,Spn
",Punct
”,Punct
Hispamérica:89,Spn
(,Punct
2001,Spn
),Punct
",Punct
87–94,Spn
;,Punct
“,Punct
Anniversary,NamedEnt
Crónica,NamedEnt
",Punct
”,Punct
el,Spn
andar(September,NamedEnt
2002,Spn
),Punct
",Punct
55–57,Spn
;,Punct
“,Punct
Axolotl,Eng
Crónica,NamedEnt
",Punct
”,Punct
Letras,Spn
FemeninasIX:2,Spn
(,Punct
2003,Spn
),Punct
",Punct
185–189,Spn
;,Punct
“,Punct
Flora,NamedEnt
y,Spn
Fauna,Spn
Crónica,NamedEnt
",Punct
”,Punct
Portal,Spn
:,Punct
Journal,Eng
of,Eng
Multidisciplinary,NamedEnt
International,Eng
Studies,NamedEnt
(,Punct
January,NamedEnt
2004,Spn
),Punct
.,Punct
I,Eng
am,Eng
grateful,Eng
to,Eng
have,Eng
been,Eng
invited,Eng
to,Eng
present/perform,Eng
various,Eng
chapters,Eng
of,Eng
this,Eng
book,Eng
while,Eng
it,Eng
was,Eng
very,Eng
much,Eng
a,Spn
work,Eng
in,Eng
progress,Eng
.,Punct
For,Eng
giving,Eng
me,Spn
this,Eng
opportunity,Eng
I,Eng
thank,Eng
Tiffany,NamedEnt
A.,Spn
López,NamedEnt
",Punct
who,Eng
organized,Eng
the,Eng
conference,Eng
“,Punct
Revolution,NamedEnt
&,Punct
Resistance,Eng
:,Punct
The,Eng
State,NamedEnt
of,Eng
Chicana/o,Spn
Art,Eng
&,Punct
Activism,NamedEnt
at,Eng
the,Eng
University,Eng
of,Eng
California,NamedEnt
",Punct
Lado,NamedEnt
del,Spn
Río,Spn
in,Eng
February,NamedEnt
2003,Spn
I,Eng
also,Eng
thank,Eng
Isabel,NamedEnt
Durán,NamedEnt
",Punct
Ana,NamedEnt
Antón-Pacheco,Spn
and,Eng
Félix,NamedEnt
Martín,NamedEnt
for,Eng
inviting,Eng
me,Spn
to,Eng
present,Eng
at,Eng
the,Eng
Universidad,NamedEnt
Complutense,NamedEnt
of,Eng
Madrid,NamedEnt
and,Eng
also,Eng
in,Eng
Victoria,NamedEnt
(,Punct
Spain,NamedEnt
),Punct
in,Eng
April,NamedEnt
2003,Spn
I,Eng
am,Eng
grateful,Eng
to,Eng
Ksenija,NamedEnt
Bilbija,NamedEnt
",Punct
who,Eng
invited,Eng
me,Spn
to,Eng
give,Eng
two,Eng
lectures,Spn
on,Eng
Argentine,NamedEnt
and,Eng
Chicana,Spn
poetry,Spn
at,Eng
the,Eng
University,Eng
of,Eng
Wisconsin–Madison,NamedEnt
in,Eng
March,NamedEnt
2004,Spn
Thanks,Eng
to,Eng
her,Eng
support—and,Eng
that,Eng
of,Eng
Raphael,NamedEnt
Kadushin—I,NamedEnt
also,Eng
perfomed,Eng
from,Eng
Killer,NamedEnt
Crónicas,Spn
.,Punct
Mil,Spn
gracias,Spn
to,Eng
Ilán,NamedEnt
Stavans,NamedEnt
",Punct
by,Eng
whose,Eng
invitation,Eng
I,Eng
was,Eng
featured,Eng
as,Eng
a,Spn
writer,Eng
at,Eng
the,Eng
International,Eng
Conference,Eng
on,Eng
Spanglish,NamedEnt
at,Eng
Amherst,NamedEnt
College,NamedEnt
in,Eng
April,NamedEnt
2004,Spn
I,Eng
thank,Eng
the,Eng
National,Eng
Endowment,NamedEnt
for,Eng
the,Eng
Humanities,Eng
for,Eng
its,Eng
financial,Eng
support,Eng
.,Punct
The,Eng
thirteen-month,Eng
sabbatical,Eng
in,Eng
Buenos,NamedEnt
Aires,NamedEnt
(,Punct
2000–01,Spn
),Punct
",Punct
partially,Eng
funded,Eng
by,Eng
an,Eng
NEH,NamedEnt
fellowship,Eng
for,Eng
college,Eng
teachers,Eng
",Punct
sencillamente,Spn
me,Spn
transformó,Spn
la,Spn
vida,Spn
y,Spn
la,Spn
escritura,Spn
.,Punct
This,Eng
fellowship,Eng
allowed,Eng
me,Spn
to,Eng
realize,Eng
a,Spn
dream,Eng
I’d,Spn
cherished,Eng
as,Eng
a,Spn
Cortázar-reading,Eng
teenager,Eng
",Punct
and,Eng
which,Eng
grew,Eng
to,Eng
the,Eng
II,Spn
fever-pitch,Eng
of,Eng
an,Eng
obsession,Eng
when,Eng
I,Eng
began,Eng
to,Eng
work,Eng
on,Eng
Alejandra,NamedEnt
Pizarnik,NamedEnt
as,Eng
a,Spn
doctoral,Spn
student,Eng
and,Eng
",Punct
later,Eng
",Punct
in,Eng
my,Eng
research,Eng
on,Eng
contemporary,Eng
women,Eng
poets,Spn
from,Eng
Buenos,NamedEnt
Aires,NamedEnt
:,Punct
conocer,Spn
la,Spn
Argentina,NamedEnt
.,Punct
I,Eng
also,Eng
thank,Eng
Pomona,NamedEnt
College’s,Eng
generous,Eng
sabbatical,Eng
leave,Eng
policy,Eng
.,Punct
The,Eng
research,Eng
",Punct
thinking,Eng
",Punct
writing—el,Eng
diario,Spn
vivir—in,Spn
Buenos,NamedEnt
Aires,NamedEnt
is,Eng
everywhere,Eng
reflected,Eng
in,Eng
this,Eng
book,Eng
.,Punct
I,Eng
will,Eng
be,Eng
eternally,Eng
grateful,Eng
to,Eng
my,Eng
longtime,Eng
friend,Eng
and,Eng
editor,Eng
Raphael,NamedEnt
Kadushin,NamedEnt
",Punct
who,Eng
recognized,Eng
in,Eng
my,Eng
fragmentary,Eng
",Punct
bilingual,Eng
epistolario,Spn
the,Eng
makings,Eng
of,Eng
a,Spn
book,Eng
.,Punct
Raphy,NamedEnt
never,Eng
let,Eng
me,Spn
forget,Eng
or,Eng
let,Eng
go,Eng
of,Eng
this,Eng
book,Eng
",Punct
even,Eng
during,Eng
the,Eng
last,Eng
three,Eng
years,Eng
",Punct
los,Spn
más,Spn
trying,Eng
de,Spn
mi,Spn
vida,Spn
.,Punct
At,Eng
the,Eng
University,Eng
of,Eng
Wisconsin,NamedEnt
Press,Eng
I,Eng
am,Eng
very,Eng
grateful,Eng
to,Eng
Sheila,NamedEnt
Moermond,NamedEnt
",Punct
whose,Eng
calm,Eng
",Punct
take-charge,Eng
professionalism,Eng
(,Punct
and,Eng
college,Eng
español,Spn
!,Punct
),Punct
helped,Eng
smooth,Eng
this,Eng
bilingual,Eng
libro,Spn
through,Eng
the,Eng
editorial,Eng
process,Eng
.,Punct
Thanks,Eng
also,Eng
to,Eng
Bridget,NamedEnt
Reavy,NamedEnt
and,Eng
Carla,NamedEnt
Aspelmeier,NamedEnt
.,Punct
Sarah,NamedEnt
Dolinar,NamedEnt
",Punct
of,Eng
the,Eng
Office,Eng
of,Eng
Public,NamedEnt
Affairs,Eng
at,Eng
Pomona,NamedEnt
College,Eng
",Punct
had,Eng
the,Eng
artistic,Eng
eye,Eng
",Punct
the,Eng
graphic,Eng
design,Eng
talents,Eng
",Punct
and,Eng
the,Eng
patience,Eng
to,Eng
listen,Eng
to,Eng
my,Eng
sueños,Spn
for,Eng
the,Eng
book,Eng
cover,Eng
and,Eng
to,Eng
transform,Eng
them,Eng
into,Eng
a,Spn
luscious,Eng
reality,Eng
.,Punct
Gracias,Spn
de,Spn
todo,Spn
corazón,Spn
",Punct
Sarah,NamedEnt
.,Punct
An,Eng
immense,Eng
debt,Eng
of,Eng
gratitude,Spn
is,Eng
owed,Eng
to,Eng
my,Eng
incondicionales,Spn
",Punct
my,Eng
three,Eng
“,Punct
musos,Spn
”,Punct
:,Punct
Paul,NamedEnt
Allatson,NamedEnt
",Punct
Paul,NamedEnt
SaintAmour,Eng
",Punct
and,Eng
Pablo,NamedEnt
“,Punct
Hugo,NamedEnt
”,Punct
Zambrano,NamedEnt
.,Punct
No,Spn
matter,Eng
where,Eng
we,Eng
were,Eng
",Punct
norte,Spn
o,Spn
sur,Spn
",Punct
you,Eng
three,Eng
read,Eng
me,Spn
",Punct
wrote,Eng
me,Spn
patrás,Spn
",Punct
laughed,Eng
",Punct
badgered,Eng
",Punct
questioned,Eng
",Punct
encouraged,Eng
and,Eng
supported,Eng
me,Spn
and,Eng
my,Eng
writing,Eng
unconditionally,Eng
.,Punct
Mil,Spn
gracias,Spn
.,Punct
I,Eng
fervently,Eng
thank,Eng
my,Eng
sister,Eng
",Punct
Sarita,NamedEnt
Chávez,NamedEnt
Silverman,NamedEnt
.,Punct
She,NamedEnt
forced,Eng
me,Spn
to,Eng
enter,Eng
my,Eng
writing,Eng
in,Eng
el,Spn
andarmagazine’s,Eng
“,Punct
Chicano,NamedEnt
Literary,NamedEnt
Excellence,Eng
Contest,NamedEnt
”,Punct
(,Punct
winning,Eng
first,Eng
prize,Eng
allí,Spn
fue,Spn
",Punct
más,Spn
o,Spn
menos,Spn
",Punct
el,Spn
comienzo,Spn
de,Spn
todo,Spn
este,Spn
wild,Eng
ride,Eng
",Punct
que,Spn
no,Spn
?,Punct
),Punct
.,Punct
And,Eng
she’s,Eng
been,Eng
a,Spn
big,Eng
fan,Eng
of,Eng
my,Eng
idiosyncratic,Eng
wordplay,Eng
desde,Spn
nuestra,Spn
temprana,Spn
infancia,Spn
.,Punct
I,Eng
am,Eng
also,Eng
deeply,Eng
grateful,Eng
to,Eng
my,Eng
sister,Eng
",Punct
Laura,NamedEnt
Chávez,NamedEnt
Silverman,NamedEnt
.,Punct
Her,Eng
versión,Spn
tandiferente,Spn
of,Eng
many,Eng
key,Eng
moments,Eng
in,Eng
our,Eng
past,Eng
often,Eng
shakes,Eng
me,Spn
al,Spn
meollo,Spn
",Punct
compelling,Eng
meIII,Eng
to,Eng
re-examine,Spn
mi,Spn
concepto,Spn
de,Spn
la,Spn
memoria,Spn
y,Spn
de,Spn
sus,Spn
(,Punct
im)posibilidades,Spn
.,Punct
A,Spn
mi,Spn
hijo,Spn
",Punct
Etienne,NamedEnt
Joseph,NamedEnt
:,Punct
el,Spn
proceso,Spn
de,Spn
escribir,Spn
este,Spn
libro,Spn
coincided,Eng
with,Eng
your,Eng
adolescence,Eng
",Punct
in,Eng
Buenos,NamedEnt
Aires,NamedEnt
and,Eng
California,NamedEnt
.,Punct
Everything,NamedEnt
we’ve,Spn
lived—and,Eng
loved,Eng
—,Punct
through,Eng
these,Eng
past,Eng
couple,Eng
of,Eng
years,Eng
me,Spn
ha,Spn
nutrido,Spn
la,Spn
escritura,Spn
.,Punct
Gracias,Spn
.,Punct
A,Spn
mi,Spn
abuela,Spn
",Punct
Eunice,NamedEnt
Chávez,NamedEnt
",Punct
gracias,Spn
Agüela,NamedEnt
.,Punct
For,Eng
your,Eng
stories,Eng
",Punct
your,Eng
language,Eng
",Punct
y,Spn
por,Spn
ti,Spn
misma,Spn
.,Punct
Mi,Spn
deuda,Spn
más,Spn
profunda,Spn
es,Spn
con,Spn
Pierre,NamedEnt
T.,Spn
Rainville,NamedEnt
.,Punct
Thank,Eng
you,Eng
for,Eng
telling,Eng
me,Spn
",Punct
in,Eng
Buenos,NamedEnt
Aires,NamedEnt
:,Punct
thiswriting,Eng
is,Eng
what,Eng
you,Eng
are,Eng
meant,Eng
to,Eng
be,Eng
doing,Eng
with,Eng
your,Eng
life,Eng
.,Punct
Thank,Eng
you,Eng
for,Eng
your,Eng
editorial,Eng
",Punct
technical,Eng
and,Eng
computer,Eng
acumen,Spn
",Punct
without,Eng
which,Eng
estos,Spn
fragmentos,Spn
could,Eng
never,Eng
have,Eng
taken,Eng
shape,Eng
as,Eng
a,Spn
book,Eng
.,Punct
Thank,Eng
you,Eng
for,Eng
your,Eng
constant,Eng
apoyo,Spn
en,Spn
esta,Spn
nuestra,Spn
empresa,Spn
común,Spn
:,Punct
as,Eng
parents,Eng
",Punct
teachers,Eng
",Punct
intellectuals,Eng
",Punct
and,Eng
viajeros,Spn
.,Punct
My,Eng
mother,Eng
",Punct
June,NamedEnt
A.,Spn
Chávez,NamedEnt
Silverman,NamedEnt
",Punct
died,Eng
in,Eng
August,NamedEnt
2003,Spn
",Punct
six,Eng
months,Eng
before,Eng
I,Eng
finished,Eng
this,Eng
book,Eng
.,Punct
Killer,NamedEnt
Crónicasis,NamedEnt
dedicated,Eng
in,Eng
loving,Eng
memory,Eng
to,Eng
her,Eng
",Punct
y,Spn
a,Spn
la,Spn
memoria,Spn
de,Spn
mi,Spn
padre,Spn
",Punct
Joseph,NamedEnt
H.,Spn
Silverman,NamedEnt
.,Punct
Y,Spn
a,Spn
Pierre,NamedEnt
.,Punct
Sin,Spn
vos,Spn
",Punct
nada,Spn
.,Punct
January,NamedEnt
2004,Spn
Los,Spn
Angeles,Spn
Me,Spn
han,Spn
pedido,Spn
que,Spn
(,Punct
me,Spn
),Punct
explique,Spn
aquí,Spn
.,Punct
I,Eng
mean,Eng
",Punct
que,Spn
ehplique,Spn
mi,Spn
lengua,Spn
",Punct
my,Eng
use,Eng
of,Eng
language,Eng
.,Punct
My,Eng
odd,Eng
oral,Spn
",Punct
transcultural,Spn
ortografía,Spn
.,Punct
My,Eng
idioma,Spn
",Punct
’,Punct
tis,Eng
of,Eng
thee,Eng
.,Punct
Bueno,Spn
",Punct
mi,Spn
lengua,Spn
.,Punct
.,Punct
.,Punct
is,Eng
a,Spn
hybrid,Eng
?,Punct
Nah,NamedEnt
!,Punct
Demasiado,Spn
PoMo,Spn
",Punct
trendy,Eng
",Punct
too,Eng
Latino,Spn
Studies,NamedEnt
(,Punct
even,Eng
if,Eng
it’s,Eng
TRUE,Eng
),Punct
.,Punct
Been,Eng
there,Eng
",Punct
done,Eng
that,Eng
.,Punct
A,Spn
verrrrr,Spn
",Punct
mi,Spn
lengua,Spn
.,Punct
.,Punct
.,Punct
es,Spn
un,Spn
palimpsesto,Spn
?,Punct
Sí,Spn
",Punct
eso,Spn
está,Spn
mejor,Spn
.,Punct
It’s,Eng
a,Spn
sedimentation,Eng
of,Eng
.,Punct
.,Punct
.,Punct
hmm,Eng
.,Punct
OK,Spn
.,Punct
Para,NamedEnt
explicar,Spn
estos,Spn
mis,Spn
flights,Eng
(,Punct
of,Eng
fancy,Eng
),Punct
",Punct
tendría,Spn
que,Spn
empezar,Spn
por,Spn
decir,Spn
que,Spn
soy,Spn
",Punct
it,Eng
is—my,Spn
language—cual,Eng
homing,Eng
pigeon,Spn
on,Eng
acid,Eng
.,Punct
Porque,Spn
I,Eng
list,Eng
",Punct
it,Eng
circles,Eng
back,Eng
",Punct
flashes,Eng
patrás,Spn
",Punct
wildly,Eng
inappropriate,Eng
",Punct
really,Eng
",Punct
to,Eng
the,Eng
last,Eng
port,Eng
en,Spn
el,Spn
cual,Spn
eché,Spn
ancla,Spn
.,Punct
In,Eng
other,Eng
words,Eng
",Punct
para,Spn
captar,Spn
la,Spn
antaño,Eng
annoying,Eng
and,Eng
now,Eng
oh,Eng
so,Eng
entrañable,Spn
aspiration,Eng
and,Eng
that,Eng
high,Eng
",Punct
tirando,Spn
a,Spn
nasal,Spn
",Punct
melancholy,Spn
",Punct
apocalyptic,Spn
whine,Eng
que,Spn
caracteriza,Spn
al,Spn
Río,Spn
de,Spn
la,Spn
Plata,NamedEnt
",Punct
escribiendo,Spn
en,Spn
Los,Spn
Angeles,Spn
(,Punct
actually,Eng
",Punct
a,Spn
little,Eng
before,Eng
",Punct
still,Eng
en,Spn
Buenos,NamedEnt
Aires,NamedEnt
pero,Spn
sabiendo,Spn
que,Spn
me,Spn
quedaba,Spn
poco,Spn
",Punct
tanpoco,Spn
tiempo,Spn
looking,Eng
out,Eng
my,Eng
warped-glass,Eng
",Punct
third-floor,Eng
balcony,Eng
window,Eng
hacia,Spn
el,Spn
Jardín,Spn
Botánico,NamedEnt
),Punct
",Punct
I,Eng
began,Eng
to,Eng
transcribe,Eng
an,Eng
“,Punct
h,Spn
”,Punct
where,Eng
the,Eng
“,Punct
s,Eng
”,Punct
is,Eng
just,Eng
a,Spn
breath,Eng
",Punct
down,Eng
there,Eng
.,Punct
Ehto,Spn
.,Punct
Queréh,Spn
?,Punct
Ehplicar,Spn
.,Punct
O,Spn
ponía,Spn
la,Spn
“,Punct
sh,Spn
”,Punct
o,Spn
“,Punct
zh,Spn
”,Punct
instead,Eng
of,Eng
“,Punct
y,Spn
”,Punct
or,Eng
“,Punct
ll,Spn
",Punct
”,Punct
para,Spn
transmitir,Spn
la,Spn
realidad,Spn
fonética,Spn
de,Spn
los,Spn
northern,Eng
suburbs,Eng
de,Spn
Buenos,NamedEnt
Aires,NamedEnt
.,Punct
Sha,NamedEnt
.,Punct
Shuvia,NamedEnt
.,Punct
Te,Spn
shamo,Eng
luego,Spn
.,Punct
Ever,NamedEnt
daddy’s,Eng
girl,Eng
",Punct
supongo,Spn
",Punct
ehtudiante,Spn
de,Spn
la,Spn
tradición,Spn
oral,Spn
.,Punct
Heredé,Spn
su,Spn
crackshot,Eng
oído,Spn
también,Spn
.,Punct
Ex-estudiante,Spn
",Punct
too,Eng
",Punct
de,Spn
los,Spn
lingüista-fonetistas,Spn
donde,Spn
hice,Spn
mi,Spn
B.A.,NamedEnt
(,Punct
gracias,Spn
Tracy,NamedEnt
Terrell,NamedEnt
and,Eng
Ricardo,NamedEnt
Barrutia,NamedEnt
",Punct
q.e.p.d,Spn
;,Punct
gracias,Spn
María,NamedEnt
Herrera-Sobek,Spn
),Punct
",Punct
I,Eng
learned,Eng
their,Eng
lessons,Eng
well,Eng
.,Punct
I,Eng
can’t,Spn
not,Eng
write,Eng
it,Eng
like,Eng
I,Eng
hear,Eng
it,Eng
.,Punct
So,Eng
",Punct
en,Spn
Buenos,NamedEnt
Aires,NamedEnt
I,Eng
often,Eng
wrote,Eng
con,Spn
la,Spn
“,Punct
th,Eng
”,Punct
for,Eng
the,Eng
final,Spn
Castilian,NamedEnt
“,Punct
d,Spn
”,Punct
:,Punct
fond,Eng
remnants,Eng
(,Punct
reliquias,Spn
?,Punct
),Punct
de,Spn
mi,Spn
infancia,Spn
en,Spn
Madrith,NamedEnt
.,Punct
Yeah,NamedEnt
",Punct
otros,Spn
tics,Eng
y,Spn
quirks,Eng
began,Eng
to,Eng
surface,Eng
from,Eng
layers,Eng
below,Eng
",Punct
like,Eng
that,Eng
:,Punct
esa,Spn
unvoiced,Eng
interdental,Eng
from,Eng
the,Eng
heart,Eng
of,Eng
la,Spn
Madre,Spn
Patria,NamedEnt
",Punct
de,Spn
Gachupilandia,NamedEnt
.,Punct
I’ve,Spn
never,Eng
been,Eng
able,Eng
to,Eng
get,Eng
rid,Eng
of,Eng
it,Eng
del,Spn
todo,Spn
",Punct
coño,Spn
!,Punct
Instead,Eng
of,Eng
the,Eng
nice,Eng
",Punct
crisp,Eng
",Punct
occlusive,Eng
final,Spn
“,Punct
d,Spn
",Punct
”,Punct
como,Spn
en,Spn
todas,Spn
las,Spn
novelas,Spn
on,Eng
Univisión,Spn
or,Eng
Telemundo,NamedEnt
.,Punct
Simón,NamedEnt
",Punct
esa,Spn
“,Punct
d,Spn
”,Punct
sería,Spn
más,Spn
normal,Eng
en,Spn
una,Spn
hablante,Spn
authentically,Eng
hispano/hablante,Spn
",Punct
or,Eng
Chicana,Spn
",Punct
que,Spn
no,Spn
?,Punct
Pero,Spn
",Punct
let,Eng
me,Spn
not,Eng
fail,Eng
to,Eng
mention,Eng
",Punct
while,Eng
I’m,Spn
at,Eng
it,Eng
",Punct
the,Eng
little,Eng
vestigios,Spn
of,Eng
my,Eng
decades-ago,Eng
pero,Spn
todavía,Spn
honorary,Eng
Puerto,NamedEnt
Rican-ness,Eng
",Punct
bestowed—or,Eng
imprinted,Eng
",Punct
by,Eng
proximity,Eng
",Punct
por,Spn
ósmosis—en,Spn
la,Spn
graduate,Eng
school,Eng
con,Spn
Frances,NamedEnt
",Punct
o,Spn
con,Spn
Grace,Eng
.,Punct
Esa,Spn
loving,Eng
",Punct
Cambridge-,NamedEnt
and,Eng
Berkeleyspawned,NamedEnt
P.R.,NamedEnt
osmosis,Spn
ha,Spn
resultado,Spn
en,Spn
cierta,Spn
excesiva,Spn
rapidez,Spn
