Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Debra	Spn	PERSON/PERS	11.7759320449	13.103960115	-1.00696879935	12.0969913157
A.	Spn	PERSON/PERS	5.36191702253	5.22183862829	-1.00696879935	4.21486982894
Castillo	Spn	PERSON/PERS	19.426292691	25.8496086951	-1.00696879935	24.8426398957
,	Punct	O	N/A	N/A	N/A	N/A
Hector	Eng	PERSON/PERS	18.1540580397	14.6616180608	-2.3780926455	15.7759653942
Mario	Spn	PERSON/PERS	20.060293999	23.2279192196	-2.37949418743	20.8484250322
Cavallari	Spn	PERSON/PERS	0.3902266893	4.57924594078	-1.00696879935	3.57227714143
,	Punct	O	N/A	N/A	N/A	N/A
Toni	Eng	PERSON/PERS	19.129222564	14.5770782768	-2.3780926455	16.7511299185
Clark	Eng	PERSON/PERS	17.0311380995	14.1508179336	-0.79995173979	16.2311863597
,	Punct	O	N/A	N/A	N/A	N/A
Mary	Eng	PERSON/PERS	22.4193555247	16.5675641644	-0.79995173979	21.6194037849
Coffey	Eng	PERSON/PERS	11.9099558724	3.19239033731	-0.79995173979	11.1100041326
,	Punct	O	N/A	N/A	N/A	N/A
Grace	Eng	PERSON/PERS	20.2788011995	16.3164569152	-0.79995173979	19.4788494597
Dávila-López	Spn	PERSON/PERS	-30.8569153876	-19.4198627893	-2.37949418743	-21.7993569767
,	Punct	O	N/A	N/A	N/A	N/A
María	Spn	PERSON/PERS	9.28308924211	24.8783279836	-1.00696879935	23.8713591842
Donapetry	Eng	PERSON/PERS	6.87247779608	-1.9137089239	-2.3780926455	4.49438515058
,	Punct	O	N/A	N/A	N/A	N/A
Robert	Spn	PERSON/PERS	16.6702499196	15.7842202549	-2.37949418743	13.4047260674
R.	Spn	PERSON/PERS	2.72230107874	2.97822673283	-1.00696879935	1.97125793348
Ellis	Spn	PERSON/PERS	9.59749004593	11.4570171001	-1.00696879935	10.4500483007
,	Punct	O	N/A	N/A	N/A	N/A
Adrianne	Spn	PERSON/PERS	-0.93871694939	2.41863754285	-1.00696879935	1.41166874349
Estill	Spn	PERSON/PERS	19.3785735271	21.3252858377	-1.00696879935	20.3183170384
,	Punct	O	N/A	N/A	N/A	N/A
David	Eng	PERSON/PERS	17.8184099011	16.8464003145	-2.3780926455	15.4403172556
William	Eng	PERSON/PERS	29.0448925948	3.15889654533	-0.79995173979	28.244940855
Foster	Eng	PERSON/PERS	18.7776141805	1.84470773774	-0.79995173979	17.9776624407
,	Punct	O	N/A	N/A	N/A	N/A
Juan	Spn	PERSON/PERS	11.1656693037	14.6654764167	-2.37949418743	12.2859822293
Carlos	Spn	PERSON/PERS	13.4713839272	25.7487440235	-1.00696879935	24.7417752242
Galeano	Spn	PERSON/PERS	0.766793620407	2.93323954127	-1.00696879935	1.92627074192
,	Punct	O	N/A	N/A	N/A	N/A
Alicia	Spn	PERSON/PERS	9.42318723249	14.2071030484	-1.00696879935	13.2001342491
Garza	Spn	PERSON/PERS	6.61776829142	8.59176739816	-1.00696879935	7.58479859881
,	Punct	O	N/A	N/A	N/A	N/A
Alicia	Spn	PERSON/PERS	9.42318723249	14.2071030484	-1.00696879935	13.2001342491
Gaspar	Spn	PERSON/PERS	4.62297222719	6.49203786495	-1.00696879935	5.4850690656
de	Spn	PERSON/O	13.8613083221	21.6054699814	-1.00696879935	20.5985011821
Alba	Spn	PERSON/ORG	13.090878272	14.5953358328	-1.00696879935	13.5883670334
,	Punct	O	N/A	N/A	N/A	N/A
Rosemary	Eng	PERSON/PERS	7.89015148677	-2.82112533989	-2.3780926455	5.51205884127
Geisdorfer	Eng	PERSON/PERS	-14.1300419902	-19.7765878626	-0.79995173979	-14.92999373
Feal	Eng	PERSON/PERS	8.92053780191	4.37329119831	-0.79995173979	8.12058606212
,	Punct	O	N/A	N/A	N/A	N/A
Joshua	Eng	PERSON/PERS	-1.68137068802	-2.65983973506	-0.79995173979	-2.48132242781
and	Eng	O	34.6599707262	16.3582560041	-0.79995173979	33.8600189864
Peggy	Eng	PERSON/PERS	5.36807105231	6.32096726808	-0.79995173979	4.56811931252
Golden	Eng	PERSON/PERS	23.3207425231	2.27426993357	-0.79995173979	22.5207907833
,	Punct	O	N/A	N/A	N/A	N/A
Martha	Spn	PERSON/PERS	14.6145065571	16.4312817384	-2.37949418743	14.051787551
Goldin	Eng	PERSON/PERS	16.2440887076	0.19482839189	-2.3780926455	13.8659960621
,	Punct	O	N/A	N/A	N/A	N/A
Deena	Eng	PERSON/PERS	6.46656484217	1.8348401978	-0.79995173979	5.66661310238
J.	Eng	PERSON/PERS	1.59259221997	1.46160353462	-0.79995173979	0.792640480182
González	Spn	PERSON/PERS	1.83017583241	6.9353350329	-2.37949418743	4.55584084547
,	Punct	O	N/A	N/A	N/A	N/A
Verónica	Spn	PERSON/PERS	-1.51745817747	14.707024711	-1.00696879935	13.7000559116
Grossi	Eng	PERSON/PERS	15.1088229042	2.49233692497	-2.3780926455	12.7307302587
,	Punct	O	N/A	N/A	N/A	N/A
Lucía	Spn	PERSON/ORG	4.72258643523	14.7295666044	-2.37949418743	12.350072417
GuerraCunningham	Eng	PERSON/ORG	8.74861661175	-6.25586710458	-2.3780926455	6.37052396625
,	Punct	O	N/A	N/A	N/A	N/A
Andrea	Spn	PERSON/PERS	19.4962423622	19.1857635241	-2.37949418743	16.8062693367
Gutiérrez	Spn	PERSON/PERS	-8.44605009605	2.90344568124	-1.00696879935	1.89647688188
,	Punct	O	N/A	N/A	N/A	N/A
Elizabeth	Spn	PERSON/PERS	7.04080534225	10.5236388258	-1.00696879935	9.51667002642
R.	Spn	PERSON/PERS	2.72230107874	2.97822673283	-1.00696879935	1.97125793348
Horan	Spn	PERSON/PERS	8.78429390507	14.8747635654	-1.00696879935	13.8677947661
,	Punct	O	N/A	N/A	N/A	N/A
Lillian	Eng	PERSON/PERS	12.1422738342	-1.77581543164	-2.3780926455	9.76418118874
Kaiser	Eng	PERSON/PERS	7.24475006309	-9.46533108759	-0.79995173979	6.4447983233
,	Punct	O	N/A	N/A	N/A	N/A
Laura	Spn	PERSON/PERS	14.4846634816	19.4759989579	-2.37949418743	17.0965047705
Klein	Eng	PERSON/PERS	-2.18418120488	-11.3400874764	-2.3780926455	-4.56227385039
,	Punct	O	N/A	N/A	N/A	N/A
Alicia	Spn	PERSON/PERS	9.42318723249	14.2071030484	-2.37949418743	11.827608861
Kozameh	Eng	PERSON/PERS	-10.4921337502	-16.3803740326	-2.3780926455	-12.8702263957
,	Punct	O	N/A	N/A	N/A	N/A
Josh	Eng	PERSON/PERS	4.83482238803	3.85635334099	-0.79995173979	4.03487064824
Kun	Eng	PERSON/PERS	3.56824712338	-1.82816212679	-0.79995173979	2.76829538359
,	Punct	O	N/A	N/A	N/A	N/A
Wim	Eng	PERSON/PERS	11.7823642409	-2.43248177012	-0.79995173979	10.9824125011
Lindeque	Eng	PERSON/PERS	5.97589561111	5.96569238568	-0.79995173979	5.17594387132
,	Punct	O	N/A	N/A	N/A	N/A
Tiffany	Eng	PERSON/PERS	8.89697405272	-5.0560632336	-0.79995173979	8.09702231293
Ana	Eng	PERSON/PERS	15.8229564214	14.3427011639	-0.79995173979	15.0230046816
López	Spn	PERSON/PERS	-8.29254801546	11.0340765615	-2.37949418743	8.65458237406
,	Punct	O	N/A	N/A	N/A	N/A
Adelaida	Spn	PERSON/ORG	-0.332087196686	5.94667508561	-1.00696879935	4.93970628625
López-Mejía	Spn	PERSON/ORG	-27.8411272436	-10.9994093164	-1.00696879935	-12.0063781158
,	Punct	O	N/A	N/A	N/A	N/A
Gustavo	Spn	PERSON/PERS	-0.762251859851	19.3599616595	-1.00696879935	18.3529928601
Llarull	Spn	PERSON/PERS	-11.0020786017	-0.176016875847	-1.00696879935	-1.1829856752
,	Punct	O	N/A	N/A	N/A	N/A
Jorge	Spn	PERSON/PERS	5.6558029401	13.449760156	-1.00696879935	12.4427913567
Mariscal	Spn	PERSON/PERS	9.83401926116	18.9550164487	-1.00696879935	17.9480476494
,	Punct	O	N/A	N/A	N/A	N/A
Francine	Eng	PERSON/PERS	24.0592979352	14.6281246317	-2.3780926455	21.6812052897
Masiello	Eng	PERSON/PERS	3.09560391104	0.695728091158	-0.79995173979	2.29565217125
,	Punct	O	N/A	N/A	N/A	N/A
Alistair	Eng	PERSON/PERS	10.8334090124	6.56820013214	-0.79995173979	10.0334572726
McCartney	Eng	PERSON/PERS	-0.810636207173	-9.87646263509	-0.79995173979	-1.61058794696
,	Punct	O	N/A	N/A	N/A	N/A
Michael	Eng	PERSON/PERS	22.6512820333	11.9097274181	-0.79995173979	21.8513302935
McGaha	Eng	PERSON/PERS	-3.88332952186	-6.63596185895	-0.79995173979	-4.68328126165
,	Punct	O	N/A	N/A	N/A	N/A
Tim	Eng	PERSON/PERS	20.7449308113	10.3434465326	-0.79995173979	19.9449790715
Miller	Eng	PERSON/PERS	23.1895843585	19.0429151249	-0.79995173979	22.3896326187
,	Punct	O	N/A	N/A	N/A	N/A
María	Spn	PERSON/PERS	9.28308924211	24.8783279836	-2.37949418743	22.4988337962
Gabriela	Spn	PERSON/PERS	0.485043308529	8.50634814419	-1.00696879935	7.49937934484
Mizraje	Spn	PERSON/PERS	-5.61937577076	-0.553067801017	-1.00696879935	-1.56003660037
,	Punct	O	N/A	N/A	N/A	N/A
Florence	Eng	LOCATION/PERS	16.5070755157	8.28304280836	-2.3780926455	14.1289828702
MoorheadRosenberg	Eng	LOCATION/PERS	-17.9811189792	-30.429053606	-0.79995173979	-18.781070719
,	Punct	O	N/A	N/A	N/A	N/A
Francisca	Eng	PERSON/PERS	18.7362933701	15.8972821608	-0.79995173979	17.9363416303
Noguerol	Spn	PERSON/PERS	-3.77696805079	-2.33228529414	-2.37949418743	-4.71177948157
,	Punct	O	N/A	N/A	N/A	N/A
Andrea	Spn	PERSON/PERS	19.4962423622	19.1857635241	-1.00696879935	18.1787947248
Ostrov	Spn	PERSON/PERS	-2.81674130772	-1.72139693802	-1.00696879935	-2.72836573738
,	Punct	O	N/A	N/A	N/A	N/A
Cristina	Spn	PERSON/PERS	19.069541169	21.588688851	-1.00696879935	20.5817200517
Piña	Spn	PERSON/PERS	2.87712729923	10.7544857802	-1.00696879935	9.74751698082
,	Punct	O	N/A	N/A	N/A	N/A
Hilda	Eng	PERSON/PERS	7.52604730582	1.63719663099	-2.3780926455	5.14795466032
Rais	Eng	PERSON/PERS	16.4698032635	4.94926236369	-0.79995173979	15.6698515237
,	Punct	O	N/A	N/A	N/A	N/A
Lynn	Eng	PERSON/PERS	7.01027801768	4.26391042764	-0.79995173979	6.21032627789
Rapaport	Eng	PERSON/PERS	1.90247229228	-1.02313803936	-0.79995173979	1.10252055249
,	Punct	O	N/A	N/A	N/A	N/A
Victor	Spn	PERSON/PERS	17.4743347004	19.064320478	-2.37949418743	16.6848262905
Richini	Eng	PERSON/PERS	11.3468296408	1.18017483359	-2.3780926455	8.96873699535
,	Punct	O	N/A	N/A	N/A	N/A
John	Eng	PERSON/PERS	16.578859574	12.3695307379	-0.79995173979	15.7789078342
Carlos	Spn	PERSON/PERS	13.4713839272	25.7487440235	-2.37949418743	23.3692498361
Rowe	Eng	PERSON/PERS	9.18629472465	1.97061194882	-2.3780926455	6.80820207915
,	Punct	O	N/A	N/A	N/A	N/A
Emma	Eng	PERSON/PERS	6.09440906709	3.05703003501	-0.79995173979	5.2944573273
Sepúlveda	Eng	PERSON/PERS	-4.83445817716	-5.13913832867	-0.79995173979	-5.63440991695
,	Punct	O	N/A	N/A	N/A	N/A
Ana	Spn	PERSON/PERS	15.8229564214	14.3427011639	-2.37949418743	11.9632069764
María	Spn	PERSON/PERS	9.28308924211	24.8783279836	-1.00696879935	23.8713591842
Shua	Eng	PERSON/PERS	10.3879439275	2.9179003656	-2.3780926455	8.00985128197
,	Punct	O	N/A	N/A	N/A	N/A
Saúl	Eng	PERSON/PERS	5.45385984115	3.42832104908	-0.79995173979	4.65390810136
Sosnowski	Eng	PERSON/PERS	-5.5803015155	-8.11156646135	-0.79995173979	-6.38025325529
,	Punct	O	N/A	N/A	N/A	N/A
Ilán	Eng	PERSON/PERS	1.8719853298	1.66137440015	-0.79995173979	1.07203359001
Stavans	Eng	PERSON/PERS	10.0952459664	-6.18420934075	-0.79995173979	9.29529422662
,	Punct	O	N/A	N/A	N/A	N/A
Mónica	Spn	PERSON/PERS	-10.2463576254	12.8309637422	-2.37949418743	10.4514695548
Szurmuk	Spn	PERSON/PERS	-12.4120571845	-15.1383663073	-1.00696879935	-16.1453351067
,	Punct	O	N/A	N/A	N/A	N/A
Miguel	Spn	PERSON/PERS	10.212182752	16.8266937528	-1.00696879935	15.8197249534
Tinker	Eng	PERSON/PERS	15.3245773802	1.84835314411	-2.3780926455	12.9464847347
Salas	Spn	PERSON/PERS	14.7325344062	18.1937891964	-2.37949418743	15.814295009
,	Punct	O	N/A	N/A	N/A	N/A
Daniel	Eng	PERSON/PERS	16.3561179568	12.1742022639	-2.3780926455	13.9780253113
Torres	Spn	PERSON/PERS	13.0388919619	17.8145450386	-2.37949418743	15.4350508512
,	Punct	O	N/A	N/A	N/A	N/A
Paulina	Eng	PERSON/PERS	11.2438519538	4.36498359633	-2.3780926455	8.86575930826
Vinderman	Eng	PERSON/PERS	8.09522756767	8.27675562425	-0.79995173979	7.29527582788
,	Punct	O	N/A	N/A	N/A	N/A
Margaret	Eng	PERSON/PERS	17.8716393723	16.5853206357	-0.79995173979	17.0716876325
Waller	Eng	PERSON/PERS	27.461567553	-0.239402281635	-0.79995173979	26.6616158132
,	Punct	O	N/A	N/A	N/A	N/A
Suzinn	Eng	PERSON/PERS	0.718160070289	0.543226097594	-0.79995173979	-0.0817916695005
Lee	Eng	PERSON/PERS	15.0865379628	15.0093779145	-0.79995173979	14.286586223
Weiss	Eng	PERSON/PERS	10.2343562092	-7.12448010118	-0.79995173979	9.43440446945
,	Punct	O	N/A	N/A	N/A	N/A
Heather	Eng	PERSON/PERS	35.3851460328	-0.532136253203	-0.79995173979	34.585194293
Williams	Eng	PERSON/PERS	31.0826102931	1.22255584729	-0.79995173979	30.2826585533
,	Punct	O	N/A	N/A	N/A	N/A
Howard	Eng	PERSON/PERS	24.087999385	0.61277816244	-0.79995173979	23.2880476452
T.	Eng	PERSON/PERS	3.31381559636	1.53261978325	-0.79995173979	2.51386385657
Young	Eng	PERSON/PERS	36.06501853	7.91380769836	-0.79995173979	35.2650667902
.	Punct	O	N/A	N/A	N/A	N/A
The	Eng	O	36.4407946419	10.3298892733	-0.79995173979	35.6408429021
following	Eng	O	35.8170603508	-6.85643619409	-0.79995173979	35.017108611
former	Eng	O	28.1102849053	9.46418267604	-0.79995173979	27.3103331655
students	Eng	O	41.0846125603	-9.10583364215	-0.79995173979	40.2846608205
at	Eng	O	21.6092487314	9.327932083	-0.79995173979	20.8092969917
Pomona	Eng	ORGANIZATION/LUG	4.40403538386	2.36453721809	-0.79995173979	3.60408364407
College	Eng	ORGANIZATION/LUG	40.2078931529	13.6598709343	-0.79995173979	39.4079414131
have	Eng	O	37.423951585	9.35655377558	-0.79995173979	36.6239998452
all	Eng	O	28.4957045692	15.1279488924	-0.79995173979	27.6957528294
read	Eng	O	30.9505740831	9.05272722757	-0.79995173979	30.1506223433
and	Eng	O	34.6599707262	16.3582560041	-0.79995173979	33.8600189864
given	Eng	O	26.588516634	0.612811871376	-0.79995173979	25.7885648942
me	Eng	O	20.4125145712	19.8593917724	-0.79995173979	19.6125628314
invaluable	Eng	O	27.7425247535	-1.27883064257	-0.79995173979	26.9425730137
feedback	Eng	O	21.4679612477	-11.0104702109	-0.79995173979	20.6680095079
on	Eng	O	22.5046277778	7.2126042423	-0.79995173979	21.704676038
múltiples	Spn	O	-6.43003176586	-3.18503424844	-2.37949418743	-5.56452843587
versiones	Spn	O	24.9423908278	27.3762403425	-1.00696879935	26.3692715432
de	Spn	O	13.8613083221	21.6054699814	-1.00696879935	20.5985011821
estas	Spn	O	11.0604849365	32.0118621254	-1.00696879935	31.0048933261
crónicas	Spn	O	-8.82928293471	8.03395992898	-1.00696879935	7.02699112963
,	Punct	O	N/A	N/A	N/A	N/A
and	Eng	O	34.6599707262	16.3582560041	-2.3780926455	32.2818780807
have	Eng	O	37.423951585	9.35655377558	-0.79995173979	36.6239998452
been	Eng	O	32.4117931892	2.48393276152	-0.79995173979	31.6118414494
been	Eng	O	32.4117931892	2.48393276152	-0.79995173979	31.6118414494
closely	Eng	O	26.6834874385	0.613103925812	-0.79995173979	25.8835356987
involved	Eng	O	40.7929701833	8.88315344577	-0.79995173979	39.9930184435
with	Eng	O	34.7941120358	-3.61113676646	-0.79995173979	33.9941602961
me	Eng	O	20.4125145712	19.8593917724	-0.79995173979	19.6125628314
in	Eng	O	24.4634706325	11.0915247383	-0.79995173979	23.6635188927
classes	Eng	O	32.0423372301	5.72821715147	-0.79995173979	31.2423854903
,	Punct	O	N/A	N/A	N/A	N/A
as	Eng	O	21.478642819	13.3169383138	-0.79995173979	20.6786910792
research	Eng	O	34.2632371688	2.25502144292	-0.79995173979	33.463285429
assistants	Eng	O	33.304679058	-2.73757768341	-0.79995173979	32.5047273182
,	Punct	O	N/A	N/A	N/A	N/A
y	Spn	O	9.49071276858	13.3354107177	-2.37949418743	10.9559165303
en	Spn	O	11.7453272047	20.2379247267	-1.00696879935	19.2309559273
la	Spn	O	15.0596736711	20.7584499854	-1.00696879935	19.7514811861
vida	Spn	O	6.17152576563	22.8507216712	-1.00696879935	21.8437528718
.	Punct	O	N/A	N/A	N/A	N/A
Para	Spn	O	19.548622753	30.3122244174	-1.00696879935	29.3052556181
todos	Spn	O	11.4186409277	30.3582428346	-1.00696879935	29.3512740352
,	Punct	O	N/A	N/A	N/A	N/A
gracias	Spn	O	11.5549190948	34.7789226552	-1.00696879935	33.7719538559
:	Punct	O	N/A	N/A	N/A	N/A
Francisco	Eng	PERSON/PERS	27.9959951716	20.3146156093	-2.3780926455	25.6179025261
Dueñas	Spn	PERSON/PERS	0.54016113684	15.7253307194	-2.37949418743	13.3458365319
,	Punct	O	N/A	N/A	N/A	N/A
Tanya	Eng	PERSON/PERS	12.9376737734	7.09039002542	-2.3780926455	10.5595811279
González	Spn	PERSON/PERS	1.83017583241	6.9353350329	-2.37949418743	4.55584084547
(	Punct	O	N/A	N/A	N/A	N/A
Scripps	Eng	ORGANIZATION/ORG	11.1284682462	-7.41171264249	-2.3780926455	8.75037560069
College	Eng	ORGANIZATION/ORG	40.2078931529	13.6598709343	-0.79995173979	39.4079414131
)	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
Gabriela	Spn	PERSON/PERS	0.485043308529	8.50634814419	-2.37949418743	6.12685395677
Grannis	Eng	PERSON/PERS	20.5002968498	7.55283915732	-2.3780926455	18.1222042043
,	Punct	O	N/A	N/A	N/A	N/A
Gregorio	Spn	PERSON/PERS	7.3609765577	11.91849815	-2.37949418743	9.53900396253
Houser	Eng	PERSON/PERS	27.7527472545	2.45332779584	-2.3780926455	25.374654609
,	Punct	O	N/A	N/A	N/A	N/A
Michael	Eng	PERSON/PERS	22.6512820333	11.9097274181	-0.79995173979	21.8513302935
Kidd	Eng	PERSON/PERS	17.7547163942	-2.88073528466	-0.79995173979	16.9547646544
,	Punct	O	N/A	N/A	N/A	N/A
Annie	Eng	PERSON/PERS	20.0480094272	5.02726874082	-0.79995173979	19.2480576875
Mascorro	Spn	PERSON/PERS	3.51505526112	10.609784595	-2.37949418743	8.23029040762
,	Punct	O	N/A	N/A	N/A	N/A
Clara	Spn	PERSON/PERS	15.2236302733	20.0997228663	-1.00696879935	19.0927540669
S.	Spn	PERSON/PERS	2.26898759315	3.23155792445	-1.00696879935	2.2245891251
Moon	Eng	PERSON/PERS	17.6439581295	5.70362512023	-2.3780926455	15.265865484
,	Punct	O	N/A	N/A	N/A	N/A
Anna	Eng	PERSON/PERS	21.469172614	8.62183751547	-0.79995173979	20.6692208742
A.I	Eng	PERSON/PERS	1.41067330395	0.354304177838	-0.79995173979	0.610721564162
I	Eng	PERSON/PERS	17.8994570652	7.18059700701	-0.79995173979	17.0995053254
Moore	Eng	PERSON/PERS	15.1250345944	8.34405513366	-0.79995173979	14.3250828546
,	Punct	O	N/A	N/A	N/A	N/A
Marissa	Spn	PERSON/PERS	10.740740542	13.2851355258	-2.37949418743	10.9056413383
Muñoz	Spn	PERSON/PERS	0.908663568887	8.17903574893	-1.00696879935	7.17206694958
,	Punct	O	N/A	N/A	N/A	N/A
Vickie	Spn	PERSON/PERS	6.95606158878	6.45254755857	-1.00696879935	5.44557875922
